Gruntfile.js: line 42, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').
build/public/src/admin/admin.js: line 163, col 9, '$' is not defined.
build/public/src/admin/admin.js: line 113, col 14, 'config' is not defined.

build/public/src/admin/advanced/cache.js: line 3, col 1, 'define' is not defined.
build/public/src/admin/advanced/cache.js: line 10, col 5, '$' is not defined.
build/public/src/admin/advanced/cache.js: line 11, col 20, '$' is not defined.
build/public/src/admin/advanced/cache.js: line 20, col 5, '$' is not defined.
build/public/src/admin/advanced/cache.js: line 21, col 21, '$' is not defined.
build/public/src/admin/advanced/cache.js: line 23, col 20, '$' is not defined.
build/public/src/admin/advanced/cache.js: line 12, col 7, 'socket' is not defined.
build/public/src/admin/advanced/cache.js: line 24, col 7, 'socket' is not defined.
build/public/src/admin/advanced/cache.js: line 16, col 9, 'ajaxify' is not defined.

build/public/src/admin/advanced/errors.js: line 29, col 3, '$' is not defined.
build/public/src/admin/advanced/errors.js: line 35, col 7, 'socket' is not defined.
build/public/src/admin/advanced/errors.js: line 40, col 9, 'ajaxify' is not defined.
build/public/src/admin/advanced/errors.js: line 72, col 17, 'ajaxify' is not defined.
build/public/src/admin/advanced/errors.js: line 89, col 17, 'ajaxify' is not defined.
build/public/src/admin/advanced/errors.js: line 50, col 21, 'utils' is not defined.
build/public/src/admin/advanced/errors.js: line 54, col 7, 'utils' is not defined.

build/public/src/admin/advanced/events.js: line 4, col 113, Line is too long.
build/public/src/admin/advanced/events.js: line 4, col 1, 'define' is not defined.
build/public/src/admin/advanced/events.js: line 8, col 5, '$' is not defined.
build/public/src/admin/advanced/events.js: line 15, col 13, '$' is not defined.
build/public/src/admin/advanced/events.js: line 22, col 5, '$' is not defined.
build/public/src/admin/advanced/events.js: line 23, col 25, '$' is not defined.
build/public/src/admin/advanced/events.js: line 33, col 5, '$' is not defined.
build/public/src/admin/advanced/events.js: line 34, col 19, '$' is not defined.
build/public/src/admin/advanced/events.js: line 35, col 7, '$' is not defined.
build/public/src/admin/advanced/events.js: line 37, col 9, '$' is not defined.
build/public/src/admin/advanced/events.js: line 39, col 7, '$' is not defined.
build/public/src/admin/advanced/events.js: line 41, col 9, '$' is not defined.
build/public/src/admin/advanced/events.js: line 45, col 23, '$' is not defined.
build/public/src/admin/advanced/events.js: line 46, col 24, '$' is not defined.
build/public/src/admin/advanced/events.js: line 48, col 5, '$' is not defined.
build/public/src/admin/advanced/events.js: line 54, col 21, '$' is not defined.
build/public/src/admin/advanced/events.js: line 11, col 11, 'socket' is not defined.
build/public/src/admin/advanced/events.js: line 25, col 7, 'socket' is not defined.
build/public/src/admin/advanced/events.js: line 55, col 5, 'ajaxify' is not defined.

build/public/src/admin/advanced/logs.js: line 4, col 1, 'define' is not defined.
build/public/src/admin/advanced/logs.js: line 8, col 20, '$' is not defined.
build/public/src/admin/advanced/logs.js: line 11, col 5, '$' is not defined.
build/public/src/admin/advanced/logs.js: line 12, col 21, '$' is not defined.
build/public/src/admin/advanced/logs.js: line 35, col 20, '$' is not defined.
build/public/src/admin/advanced/logs.js: line 21, col 11, 'socket' is not defined.
build/public/src/admin/advanced/logs.js: line 36, col 5, 'socket' is not defined.

build/public/src/admin/appearance/customise.js: line 3, col 1, 'define' is not defined.
build/public/src/admin/appearance/customise.js: line 8, col 7, '$' is not defined.
build/public/src/admin/appearance/customise.js: line 8, col 28, '$' is not defined.
build/public/src/admin/appearance/customise.js: line 9, col 7, '$' is not defined.
build/public/src/admin/appearance/customise.js: line 9, col 27, '$' is not defined.
build/public/src/admin/appearance/customise.js: line 10, col 7, '$' is not defined.
build/public/src/admin/appearance/customise.js: line 10, col 29, '$' is not defined.
build/public/src/admin/appearance/customise.js: line 11, col 7, '$' is not defined.
build/public/src/admin/appearance/customise.js: line 11, col 34, '$' is not defined.
build/public/src/admin/appearance/customise.js: line 18, col 7, '$' is not defined.
build/public/src/admin/appearance/customise.js: line 19, col 13, '$' is not defined.
build/public/src/admin/appearance/customise.js: line 37, col 7, '$' is not defined.
build/public/src/admin/appearance/customise.js: line 20, col 11, 'socket' is not defined.
build/public/src/admin/appearance/customise.js: line 35, col 7, 'app' is not defined.
build/public/src/admin/appearance/customise.js: line 35, col 19, 'app' is not defined.
build/public/src/admin/appearance/customise.js: line 36, col 7, 'app' is not defined.

build/public/src/admin/appearance/skins.js: line 65, col 143, Line is too long.
build/public/src/admin/appearance/skins.js: line 98, col 129, Line is too long.
build/public/src/admin/appearance/skins.js: line 4, col 1, 'define' is not defined.
build/public/src/admin/appearance/skins.js: line 11, col 5, '$' is not defined.
build/public/src/admin/appearance/skins.js: line 18, col 11, '$' is not defined.
build/public/src/admin/appearance/skins.js: line 19, col 13, '$' is not defined.
build/public/src/admin/appearance/skins.js: line 19, col 46, '$' is not defined.
build/public/src/admin/appearance/skins.js: line 24, col 37, '$' is not defined.
build/public/src/admin/appearance/skins.js: line 28, col 5, '$' is not defined.
build/public/src/admin/appearance/skins.js: line 29, col 37, '$' is not defined.
build/public/src/admin/appearance/skins.js: line 36, col 5, '$' is not defined.
build/public/src/admin/appearance/skins.js: line 37, col 20, '$' is not defined.
build/public/src/admin/appearance/skins.js: line 74, col 28, '$' is not defined.
build/public/src/admin/appearance/skins.js: line 103, col 7, '$' is not defined.
build/public/src/admin/appearance/skins.js: line 106, col 15, '$' is not defined.
build/public/src/admin/appearance/skins.js: line 107, col 13, '$' is not defined.
build/public/src/admin/appearance/skins.js: line 118, col 7, '$' is not defined.
build/public/src/admin/appearance/skins.js: line 21, col 34, 'app' is not defined.
build/public/src/admin/appearance/skins.js: line 76, col 5, 'app' is not defined.
build/public/src/admin/appearance/skins.js: line 93, col 30, 'app' is not defined.
build/public/src/admin/appearance/skins.js: line 51, col 9, 'socket' is not defined.

build/public/src/admin/appearance/themes.js: line 4, col 111, Line is too long.
build/public/src/admin/appearance/themes.js: line 83, col 116, Line is too long.
build/public/src/admin/appearance/themes.js: line 96, col 133, Line is too long.
build/public/src/admin/appearance/themes.js: line 4, col 1, 'define' is not defined.
build/public/src/admin/appearance/themes.js: line 8, col 5, '$' is not defined.
build/public/src/admin/appearance/themes.js: line 9, col 22, '$' is not defined.
build/public/src/admin/appearance/themes.js: line 48, col 5, '$' is not defined.
build/public/src/admin/appearance/themes.js: line 80, col 26, '$' is not defined.
build/public/src/admin/appearance/themes.js: line 83, col 27, '$' is not defined.
build/public/src/admin/appearance/themes.js: line 101, col 7, '$' is not defined.
build/public/src/admin/appearance/themes.js: line 108, col 7, '$' is not defined.
build/public/src/admin/appearance/themes.js: line 18, col 13, 'config' is not defined.
build/public/src/admin/appearance/themes.js: line 29, col 11, 'config' is not defined.
